make, model, MSE, MAE, R2, dataset_size
BMW, xgb,2245353.5613485742,1087.9217817826705,0.9752633753261681,1097
AM,xgb,114794386.35260159,7261.168557960894,0.9001687138498431,715
JAG,xgb,7555546.473593997,1851.7862141927083,0.9208207007114162,1128
PSC,xgb,37384151.962537974,4201.880749300036,0.8140501814170533,692
