Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Predicted_Price,Price_Diff_Percent
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=38&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=46&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=56&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=67&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=68&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=84&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=94&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…",45880.66,31.46320916905445
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401195717503?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=21&postcode=wr117jh&fromsra,Finance available,39000.0,6.0 V12 Luxury Edition T-TronicII Euro 5 2dr,AS NEW THOUGH OUT,2012.0,Coupe,47000.0,6.0L,477PS,Automatic,Dealer locationCanterbury,2.0,"A OPPORTUNITY TO PURCHASE A RARE ASTON MARTIN DB9 BLACK CARBON EDITION WHICH I CAN ONLY DESCRIBE AS NEW THOUGH OUT, HAS COVERED 47,000 MILES FROM NEW AND HAS 13 ASTON MARTIN MAIN AGENT SERVICE IN THE ENTRY SERVICING BOOK PLUS SERVICE BILLS INCLUDED, IS A VERY LOW OWNERSHIP AND THE LAST GENTLEMAN…",45880.66,17.642717948717955
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184084734?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=30&postcode=wr117jh&fromsra,Unknown,36995.0,5.9 Volante Seq 2dr (EU4),"19"" ALLOYS, FSH, S/NAV, H/LEAT",2006.0,Convertible,28878.0,5.9L,451BHP,Automatic,Dealer locationDukinfield,,"The Aston Martin DB9 in Onyx Black Presents a Gentleman's Luxury Soft Top Sports Car with a Symphony of Sound from its 5.9 V12 Engine and a Sense of Magnificence Even at Some 17 Years Old. The DB9 is Like a Fine Wine, One Which gets Better with Age, and if Cared for to the Extent this one has Will…",45846.715,23.92678740370319
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202401115459302?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=45&postcode=wr117jh&fromsra,Unknown,40995.0,5.9 Volante Seq 2dr (EU4),"JUST 19,000 MILES!! WOW!!",2005.0,Convertible,19000.0,5.9L,450BHP,Automatic,Dealer locationGlastonbury,,"We are pleased to be able to offer on sale this absolutely fantastic 2005 55 Aston Martin DB9 Volante that has covered just 19,000 original miles from new! This DB9 is seriously immaculate throughout, and comes with 2 keys. Last owner has owned, cherished and garaged this DB9 since 2014. Very rare…",45846.715,11.834894499329177
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202307049280459?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=89&postcode=wr117jh&fromsra,Unknown,37850.0,5.9 Volante Seq 2dr (EU4),** 07 MODEL YEAR **,2006.0,Convertible,30000.0,5.9L,450BHP,Automatic,Dealer locationKineton,,"Aston Martin DB9 Volante for sale., McGurk Performance Cars are very pleased to offer this DB9 Volante finished in Tungsten Silver over Obsidian Leather. The car was first registered in September 2006 and has the following specification :-, 19” 15 Spoke Alloy Wheels, Satellite Navigation, Grey…",45846.715,21.127384412153226
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=35&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=41&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
