Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Bentley,https://www.autotrader.co.uk/car-details/202402146566735?sort=relevance&advertising-location=at_cars&make=Bentley&page=91&postcode=WR3%207AE&fromsra,,179950.0,Continental,Bentley Service Pack Included!,2023.0,Coupe,,4.0L,550PS,Automatic,Petrol,,4.0 V8 GT S Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202205266180309?sort=relevance&advertising-location=at_cars&make=Bentley&page=91&postcode=WR3%207AE&fromsra,,67990.0,Bentayga,22s | NAIM | PAN ROOF | HUD,2016.0,SUV,,6.0L,600BHP,Automatic,Petrol,,6.0 W12 First Edition Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202306198676095?sort=relevance&advertising-location=at_cars&make=Bentley&page=91&postcode=WR3%207AE&fromsra,,134850.0,Continental,2 Year Bentley Warranty,2019.0,Convertible,,6.0L,626BHP,Automatic,Petrol,,6.0 W12 GTC Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202311013531401?sort=relevance&advertising-location=at_cars&make=Bentley&page=91&postcode=WR3%207AE&fromsra,,136199.0,Bentayga,"22s, MULLINER DRIVING SPEC",2022.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202310163036089?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&twcs=true&advertising-location=at_cars&make=Bentley&page=91&postcode=WR3%207AE&fromsra,,64995.0,Bentayga,"22"" Alloys, Pan Roof, Mulliner",2016.0,SUV,,6.0L,600BHP,Automatic,Petrol,,6.0 W12 Mulliner Auto 4WD Euro 6 (s/s) 5dr 4Seat
Bentley,https://www.autotrader.co.uk/car-details/202401175637458?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,209940.0,Bentayga,VAT Qualifying,2024.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Azure Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202310253327656?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,51999.0,Flying Spur,,2017.0,Saloon,,4.0L,507PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 4dr
Bentley,https://www.autotrader.co.uk/car-details/202312084650827?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,45995.0,Continental,*MULLINER*FULL BENTLEY SERVICE,2014.0,Coupe,,4.0L,528PS,Automatic,Petrol,,4.0 V8 GT S Auto 4WD Euro 5 2dr
Bentley,https://www.autotrader.co.uk/car-details/202401125479132?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,159995.0,Continental,Full PPF/Carbon Ext./Pan Roof,2021.0,Coupe,,4.0L,550PS,Automatic,Petrol,,4.0 V8 GT Mulliner Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202312214982601?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,149000.0,Flying Spur,,2022.0,Saloon,,2.9L,537BHP,Automatic,Petrol Plug-in Hybrid,,2.9 TFSi V6 PHEV 18kWh S Auto 4WD Euro 6 (s/s) 4dr
Bentley,https://www.autotrader.co.uk/car-details/202401306045185?sort=relevance&twcs=true&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,139995.0,Bentayga,"Mulliner Spec, Contrast Stitch",2022.0,SUV,,3.0L,449PS,Automatic,Petrol Plug-in Hybrid,,3.0 TFSi V6 17.3kWh Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202311294395513?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,99999.0,Bentayga,Full Styling & Centenary Spec,2020.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
